,real,predict
316,285.84,346.566
317,283.95001,344.95135
318,286.51001,332.2011
319,285.63,316.15674
320,282.14001,316.8387
321,282.78,314.3804
322,280.14999,312.85284
323,278.26999,310.7131
324,279.03,309.71954
325,275.26999,308.0395
326,274.57001,282.9404
327,280.53,282.71915
328,282.95999,296.28284
329,284.79999,307.35764
330,287.64999,300.77664
331,288.97,273.0037
332,288.89999,282.41428
333,288.39001,281.60446
334,289.57999,287.95837
335,289.26001,285.66113
336,289.37,286.08496
337,292.39999,299.0992
338,293.06,302.46027
339,295.85999,303.82657
340,294.0,307.12747
341,293.64001,306.77353
342,290.76001,308.74356
343,290.47,302.1225
344,291.5,306.67554
345,293.0,309.4513
346,295.66,311.4457
347,296.42999,311.515
348,298.79999,310.82874
349,298.45999,311.69833
350,296.82001,310.9532
351,297.19,310.70544
352,298.60999,310.20557
353,299.31,313.53857
354,300.64999,314.1829
355,300.75,313.57904
356,299.70999,314.84494
357,297.73999,308.01654
358,298.82999000000007,299.58575
359,297.17001,291.76486
360,297.89999,290.873
361,300.03,290.09076
362,301.44,286.91553
363,300.0,286.9617
364,302.01001,286.15652
365,301.45999,281.85995
366,300.7200000000001,279.4191
367,297.42999,277.77277
368,294.84,276.21997
369,292.62,273.87537
370,283.82001,272.36115
371,287.79999,269.00284
372,287.97,270.64792
373,293.62,271.3326
374,291.62,273.4023
375,288.07001,269.77206
376,292.54999,266.3821
377,283.89999,269.28964
378,284.64999,266.6013
379,288.85001,252.74449
380,292.32999,251.81728
381,290.09,251.35231
382,292.45001,253.09792
383,292.35999,256.9594
384,284.85001,264.8061
385,288.0,271.84055
386,286.87,273.2154
387,288.89001,270.73032
388,292.57999,270.78714
389,292.45001,275.4472
390,290.73999,269.5472
391,294.04001,268.47028
392,297.82001,273.57578
393,298.04999,280.8757
394,298.20001,275.97986
395,298.13,273.6553
396,300.25,266.52933
397,301.29001,270.3766
398,301.09000000000003,286.45758
399,300.16,302.01212
400,300.92001,317.2831
401,301.10001,318.81412
402,301.07999,331.41232
403,298.28,336.95926
404,298.20999,328.15994
405,295.87,324.57642
406,297.62,331.4507
407,297.0,326.60507
408,295.39999,331.21548
409,296.76999,330.4944
410,293.23999,327.73715
411,288.06,328.37747
412,290.42001,328.53888
413,294.35001,327.99533
414,293.07999,328.84372
415,288.53,325.9042
416,291.26999,321.23367
417,293.23999,320.64453
418,296.28,320.56635
419,295.95001,318.76
420,298.88,318.23926
421,298.39999,320.5099
422,299.28,321.10202
423,297.97,343.29623
424,299.98999,335.9958
425,299.0100100000001,319.3057
426,299.88,259.33026
427,300.37,260.97635
428,301.60001,265.79047
429,303.29999,277.94415
430,303.20999,301.54294
431,304.14001,323.0411
432,303.32999,337.5388
433,306.14001,340.82434
434,307.37,336.18015
435,307.03,339.62552
436,307.10001,338.3729
437,308.17999,327.83044
438,308.94,327.4285
439,308.35001,328.43915
440,309.0,320.89868
441,309.10001,341.95352
442,309.54999,326.50214
443,311.79001,337.42377
444,312.01999,323.14636
445,311.92999,324.6822
446,310.76999,312.71683
447,310.26999,313.48303
448,310.95999,319.5816
449,313.37,333.04105
450,314.07999,322.35373
451,315.48001,329.98862
452,314.31,325.34262
453,311.64001,323.14627
454,309.54999,319.30502
455,311.45999,320.16174
456,312.01999,320.83984
457,314.87,320.4864
458,313.88,320.21204
459,313.53,323.3192
460,314.42001,325.08655
461,317.13,322.16855
462,317.32000999999997,318.00104
463,319.5,318.9674
464,319.57001,309.10077
465,319.59,320.92917
466,320.89998999999995,315.75674
467,320.73001,320.51785
468,321.22,329.71378
469,321.23000999999994,334.36664
470,322.93999999999994,335.8743
471,322.85999,343.78656
472,321.07999,348.91733
473,321.85999,350.1185
474,324.87,354.05307
475,322.4100000000001,354.4865
476,323.64001,353.7674
477,322.73001,352.69696
478,324.45000999999996,352.1753
479,326.64999,352.28836
480,325.70999,355.91275
481,327.9500100000001,356.10117
482,327.45001,355.60797
483,328.19,352.24213
484,330.92001,351.75027
485,331.95001,337.40265
486,331.29999,349.71988
487,331.34,342.5124
488,331.72,347.57913
489,328.76999,334.0728
490,323.5,321.52386
491,326.89001,314.67813
492,326.62,307.8695
493,327.67999,300.85013
494,321.73001,302.5241
495,324.12,295.44083
496,329.06,292.82175
497,332.85999,299.9459
498,333.98001,304.9307
499,332.20001,302.8013
500,334.67999,288.9658
501,335.26000999999997,283.08115
502,337.42001,267.63412
503,337.06000000000006,262.67007
504,337.60001,265.57626
505,336.73001,272.8921
506,338.34,274.95352
507,336.95001,278.18747
508,333.48001,278.80716
509,322.42001,281.58377
510,312.64999,282.08444
511,311.5,284.33002
512,297.51001,297.19104
513,296.26001,299.19476
514,309.09,300.64688
515,300.23999,302.93954
516,312.85999,301.41522
517,302.45999,291.84802
518,297.45999,283.65726
519,274.23001,273.86053
520,288.42001,274.63315
521,274.35999,273.96393
522,248.11,263.89148
523,269.32001,259.28256
524,239.85001,248.91853
525,252.8,249.10143
526,240.0,241.3021
527,240.50999,239.63234
528,228.8,240.14055
529,222.95,240.38472
530,243.14999,240.57997
531,246.78999,240.55666
532,261.20001,240.20575
533,253.41999999999996,240.06638
534,261.64999,239.71284
535,257.75,239.88602
536,246.14999,240.02626
537,251.83,239.80713
538,248.19,239.67723
539,264.85999,239.0558
540,265.13,238.92303
541,274.03,238.79378
542,278.20001,239.2061
543,275.66,239.76706
544,283.79001,240.40758
545,277.76001,241.20665
546,279.10001,241.36394
547,286.64001,241.78394
548,281.59,242.09756
549,273.04001,242.06158
550,279.10001,241.61122
551,279.07999,241.61531
552,282.97,241.19563
553,287.04999,240.92221
554,285.73001,240.82458
555,293.20999,240.51057
556,290.48001,240.70706
557,282.79001,240.40657
558,283.57001,240.024
559,286.19,239.99635
560,284.25,239.83461
561,287.67999,239.49966
562,292.44,239.66663
563,292.5,240.71045
564,286.67001,241.18962
565,281.60001,239.69315
566,284.97,238.1709
567,286.28,238.67159
568,295.0,239.10352
569,291.97,240.01677
570,296.92999,238.70358
571,294.88,239.15858
572,295.44,239.43268
573,299.07998999999995,240.24028
574,303.53,240.84686
575,302.97,244.427
576,304.32001,244.4455
577,305.54999,244.55698
578,308.07999,252.45041
579,312.17999,264.2255
580,311.35999,284.4506
581,319.3399999999999,299.51138
582,323.20001,308.69403
583,320.79001,310.82175
584,319.00000000000006,304.5815
585,300.60999,295.25433
586,304.20999,288.16757
587,307.04999,288.69058
588,312.95999,291.63455
589,311.6600000000001,287.8167
590,311.78,283.38605
591,308.64001,273.61166
592,310.62,277.31134
593,312.04999,260.72003
594,304.09,259.79138
595,307.35001,285.26843
596,300.04999,290.0711
597,304.45999,274.48898
598,308.35999,268.56998
599,310.51999,263.48917
600,312.23001,262.7975
601,317.04999,252.89078
602,313.78,254.17715
603,316.17999,249.54079
604,314.38,245.98819
605,317.59,244.24046
606,314.84,246.08372
607,318.92001,243.3723
608,321.85001,245.4024
609,320.79001,249.6611
610,321.72,251.52843
611,324.3200100000001,256.17886
612,325.01001,263.55704
613,326.85999,265.84738
614,322.95999,268.6371
615,320.88,261.66837
616,323.22,290.1647
617,321.17000999999993,269.69086
618,325.12,266.82037
619,323.95999,279.64996
620,326.51999,281.6085
621,328.79001,288.92865
622,330.05999999999995,293.99518
623,332.10999,296.8267
624,334.32999,298.78253
625,334.57001,298.06696
626,335.57001,290.57788
627,332.79999,266.7007
628,337.44,264.69592
629,336.82999,257.45718
630,336.84,261.62033
631,337.91,259.7854
632,338.6400100000001,256.02408
633,337.23001,260.7971
634,338.28,264.97153
635,339.48001,268.95218
636,342.92000999999993,274.96393
637,344.12000000000006,268.48328
638,347.57001,282.85983
639,348.32999,289.85095
640,350.57999,278.75735
641,349.31,269.02618
642,352.60001,249.98573
643,357.70001,250.79135
644,345.39001,263.07126
645,342.57000999999997,240.06894
646,333.20999,240.41261
647,339.79001,241.04852
648,333.89001,244.01471
649,334.06,241.6254
650,338.45999,242.929
651,340.17001,244.38737
652,338.82000999999997,246.37042
653,335.84,246.60185
654,330.64999,247.54166
655,326.97,248.87779
656,330.29999,246.27745
657,322.64001,246.1706
658,323.5,242.76614
659,328.73001,242.08849
660,334.19,242.63339
661,332.37,244.49487
662,334.89001,245.82391
663,337.04001,247.99281
664,333.8399999999999,249.20572
665,339.76001,245.75502
666,334.92999,245.62334
667,340.76001,241.83401
668,343.78,242.49173
669,346.85001,243.74014
670,352.42999,245.4418
671,350.13,247.17114
672,347.92999,247.10309
673,347.5,248.1001
674,347.29001,253.54941
675,342.01001,264.5599
676,343.38,261.16037
677,342.73000999999994,260.11783
678,344.60999,260.24448
679,345.78,261.56598
680,339.39001,261.5744
681,338.22,262.26004
682,326.66,264.43298
683,329.98001,266.85416
684,326.54001,277.41318
685,330.20001,288.96198
686,336.03,298.06024
687,343.54001,291.25607
688,350.23999,273.5891
689,350.16,278.16998
690,354.56,290.2642
691,354.04001,279.98032
692,356.67001,277.6842
693,353.20998999999995,285.8229
694,358.10001,300.8349
695,362.57001,320.4647
696,360.62,331.33524
697,356.28,333.78018
698,357.78,335.99133
699,355.32999,336.1054
700,357.45999,336.4252
701,363.22,336.70322
702,362.66,336.65686
703,363.67001,336.64407
704,362.06,337.83215
705,366.01999,339.03458
706,366.79001,337.6477
707,366.69,337.0156
708,369.85001,335.76364
709,369.09,335.00363
710,370.17001,334.95602
711,366.85001,335.21445
712,366.73001,335.26807
713,366.29999,335.3015
714,364.66,335.24893
715,369.59000000000003,335.0714
716,370.17001,334.92853
717,372.23999,334.95276
718,369.17999,337.4722
719,367.8599899999999,335.31476
720,367.23999,334.27322
721,367.5700100000001,267.0876
722,369.0,251.94379
723,372.17001,251.37062
724,371.45998999999995,247.588
